,Company name,"Gearing (%)
2018",BvD Independence Indicator,"Number of employees
2018","Profit (Loss) before Taxation
th GBP 2018","Tangible Assets
th GBP 2018","Fixed Assets
th GBP 2018"
1,PARK CAMERAS GROUP LIMITED,17.67,D,68,"1,624","2,340","2,340"
2,THAMES VALLEY HOUSING ASSOCIATION LIMITED,114.04,A-,259,"33,817","71,818","1,317,990"
3,EIRGRID INTERCONNECTOR DESIGNATED ACTIVITY COMPANY,165.66,D,4,"-6,539","426,724","426,724"
4,AXALTA COATING SYSTEMS HUTHWAITE UK LIMITED,35.61,D,76,"1,290","2,996","3,035"
5,PNMSOFT UK LIMITED,985.14,D,27,207,14,14
6,PALL EUROPE LIMITED,55.59,D,854,"19,509","38,446","39,071"
7,CRUINN DIAGNOSTICS LIMITED,39.66,B+,54,607,"1,329","3,407"
8,HALMED LIMITED,279.06,B+,43,-920,80,"5,844"
9,LAKEVIEW REST HOMES LIMITED,119.04,D,109,831,"6,445","6,945"
10,HERITAGE PORTFOLIO LIMITED,39.11,D,222,-275,553,563
11,WILLIAM GRANT & SONS BRANDS LIMITED,78.6,D,126,"50,690","28,478","28,488"
12,THE LUXURY TRAVEL GROUP LIMITED,12.24,D,313,"14,121",550,"5,335"
13,"W.PORTSMOUTH & CO.,LIMITED",0.37,B+,74,148,263,314
14,DAMCO SOLUTIONS LTD,20.61,D,329,951,"2,367","2,374"
15,G.PURCHASE CONSTRUCTION LIMITED,14.88,D,110,736,108,108
16,EXA GROUP UK LTD,2.04,D,3,"1,074",21,21
17,CONDECO GROUP LIMITED,189.21,B+,345,"-5,628","1,853","7,123"
18,FOREST GARDEN LIMITED,48.29,D,394,215,"1,042","1,087"
19,ENTSERV UK LIMITED,23.47,D,"4,780","126,742","280,190","1,197,198"
20,PATRICK O'BRIEN LIMITED,88.4,B+,134,383,"8,910","10,268"
21,ALLISON BABY UK LIMITED,170.27,D,41,"4,205","1,524","2,768"
22,GLOBALTEX LIMITED,0.86,D,72,"3,929",520,520
23,ABBEY COMMERCIAL INVESTMENTS LIMITED,160.82,D,7,"4,983","13,274","65,559"
24,STICHD SPORTMERCHANDISING UK LTD,6.68,D,28,140,7,7
25,SELWOOD HOUSING SOCIETY LIMITED,78.48,U,291,"10,088","387,445","388,618"
26,BILLING FINANCE LIMITED,172.42,D,65,"1,727",55,55
